Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,Breached SLA
111636,3/12/2021,Error Displaying in Different Module,Jasper John,jasper.john@gmail.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/2021,3/12/2021,Jared Smith,SAP Support Team,16,2,PROD,PRODUCTION,New Ticket,Yes
111632,3/10/2021,Approval Workflow Error,Erick White,ewhite@yahoo.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Resolved,3/18/2021,3/15/2021,Mark Jikkins,JDE Support Team,28,6,PROD,PRODUCTION,New Ticket,No
111621,2/22/2021,Public IP Trusted Certificate Authority Error,Tomi Yamamoto,tyamamoto@gmail.com,Emergency,Internal Technical Department,Incident / Problem,Web,Closed,3/5/2021,2/23/2021,Jared Smith,Network Team,5,1,PROD,PRODUCTION,New Ticket,No
111608,2/15/2021,JDE Slowdown,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,2/24/2021,2/15/2021,Jared Smith,JDE Support Team,12,1,PROD,PRODUCTION,Close Ticket,No
111596,1/22/2021,JDE Slow Down,Riza Richardson,rrichardson@mailinator.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/29/2021,1/22/2021,Jared Smith,JDE Support Team,7,1,PROD,PRODUCTION,Close Ticket,Yes
111491,8/20/2020,ERROR 504 GATEWAY TIMEOUT AGAIN,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/15/2021,8/20/2020,Jared Smith,SAP Support Team,11,1,PROD,PRODUCTION,Close Ticket,No
111571,12/10/2020,11/25/2020 8:34PM LOGIN ISSUE,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021,12/10/2020,Jared Smith,SAP Support Team,5,4,PROD,PRODUCTION,Open,No
111572,12/10/2020,11/25/2020 1:41PM LOGIN ISSUE,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021,12/10/2020,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open,Yes
111573,12/10/2020,11/26/2020 9:10PM LOGIN ISSUE,Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021,12/10/2020,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open,No
111575,12/10/2020,"12/01/2020 12:00PM ""bea.jolt"" login error",Aurora Miller,aurora.miller@outlook.com,Emergency,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021,12/10/2020,Jared Smith,SAP Support Team,5,1,PROD,PRODUCTION,Open,No
